location,year,sex,age,smoke,overweight
CHN,2006,female,25-29,0.007839758,0.14
CHN,2006,female,30-34,0.010067358,0.177
CHN,2006,female,35-39,0.014739776,0.234
CHN,2006,female,40-44,0.019699456,0.285
CHN,2006,female,45-49,0.026767945,0.342
CHN,2006,female,50-54,0.028311886,0.34
CHN,2006,female,55-59,0.032874323,0.347
CHN,2006,female,60-64,0.045019664,0.331
CHN,2006,female,65-69,0.056871783,0.307
CHN,2006,male,20-24,0.379149973,0.147
CHN,2006,male,25-29,0.45302403,0.201
CHN,2006,male,30-34,0.493918121,0.231
CHN,2006,male,35-39,0.531853914,0.271
CHN,2006,male,40-44,0.564162612,0.29
CHN,2006,male,45-49,0.57265687,0.289
CHN,2006,male,50-54,0.556218326,0.276
CHN,2006,male,55-59,0.524497449,0.261
CHN,2006,male,60-64,0.470059216,0.252
CHN,2006,male,65-69,0.40960902,0.253
CHN,2007,female,20-24,0.008909211,0.094
CHN,2007,female,25-29,0.007076178,0.143
CHN,2007,female,30-34,0.009775374,0.18
CHN,2007,female,35-39,0.014154878,0.236
CHN,2007,female,40-44,0.020175319,0.29
CHN,2007,female,45-49,0.02543637,0.347
CHN,2007,female,50-54,0.026320733,0.344
CHN,2007,female,55-59,0.030660538,0.351
CHN,2007,female,60-64,0.039580088,0.337
CHN,2007,female,65-69,0.053003635,0.314
CHN,2007,male,20-24,0.376930684,0.154
CHN,2007,male,25-29,0.445292503,0.211
CHN,2007,male,30-34,0.483505934,0.241
CHN,2007,male,35-39,0.521008074,0.278
CHN,2007,male,40-44,0.55727309,0.296
CHN,2007,male,45-49,0.56970787,0.3
CHN,2007,male,50-54,0.55493325,0.283
CHN,2007,male,55-59,0.522435725,0.27
CHN,2007,male,60-64,0.467630118,0.259
CHN,2007,male,65-69,0.408054322,0.258
CHN,2008,female,20-24,0.008768609,0.099
CHN,2008,female,25-29,0.006635864,0.147
CHN,2008,female,30-34,0.010007342,0.185
CHN,2008,female,35-39,0.013989168,0.24
CHN,2008,female,40-44,0.020895021,0.295
CHN,2008,female,45-49,0.024600284,0.352
CHN,2008,female,50-54,0.025826903,0.351
CHN,2008,female,55-59,0.029909156,0.356
CHN,2008,female,60-64,0.036493059,0.344
CHN,2008,female,65-69,0.051625438,0.323
CHN,2008,male,20-24,0.380664378,0.161
CHN,2008,male,25-29,0.44001025,0.22
CHN,2008,male,30-34,0.476669699,0.251
