location,year,sex,age,smoke,overweight
MEX,2004,female,40-44,0.073672377,0.8
MEX,2004,female,45-49,0.079133235,0.819
MEX,2004,female,50-54,0.062259611,0.794
MEX,2004,female,55-59,0.066857085,0.802
MEX,2004,female,60-64,0.046877079,0.766
MEX,2004,female,65-69,0.045056529,0.736
MEX,2004,male,20-24,0.178737774,0.431
MEX,2004,male,25-29,0.193462506,0.569
MEX,2004,male,30-34,0.177279666,0.666
MEX,2004,male,35-39,0.18473725,0.729
MEX,2004,male,40-44,0.18925558,0.746
MEX,2004,male,45-49,0.204204366,0.758
MEX,2004,male,50-54,0.202606156,0.746
MEX,2004,male,55-59,0.19423601,0.7
MEX,2004,male,60-64,0.193485394,0.694
MEX,2004,male,65-69,0.166040376,0.643
MEX,2005,female,20-24,0.054050136,0.439
MEX,2005,female,25-29,0.050001308,0.596
MEX,2005,female,30-34,0.049145635,0.695
MEX,2005,female,35-39,0.057560369,0.747
MEX,2005,female,40-44,0.071317524,0.8
MEX,2005,female,45-49,0.076127529,0.814
MEX,2005,female,50-54,0.05278153,0.803
MEX,2005,female,55-59,0.067870207,0.806
MEX,2005,female,60-64,0.045704719,0.769
MEX,2005,female,65-69,0.043594468,0.744
MEX,2005,male,20-24,0.179090306,0.437
MEX,2005,male,25-29,0.188503176,0.572
MEX,2005,male,30-34,0.171110302,0.669
MEX,2005,male,35-39,0.181254059,0.733
MEX,2005,male,40-44,0.18089129,0.751
MEX,2005,male,45-49,0.198894203,0.758
MEX,2005,male,50-54,0.195285574,0.752
MEX,2005,male,55-59,0.188050792,0.708
MEX,2005,male,60-64,0.192156658,0.7
MEX,2005,male,65-69,0.164307207,0.647
MEX,2006,female,20-24,0.05267515,0.444
MEX,2006,female,25-29,0.052264497,0.598
MEX,2006,female,30-34,0.043191269,0.698
MEX,2006,female,35-39,0.052800354,0.752
MEX,2006,female,40-44,0.068413511,0.802
MEX,2006,female,45-49,0.073043838,0.811
MEX,2006,female,50-54,0.042636391,0.812
MEX,2006,female,55-59,0.070117883,0.808
MEX,2006,female,60-64,0.045127854,0.772
MEX,2006,female,65-69,0.042414568,0.753
MEX,2006,male,20-24,0.175733715,0.442
MEX,2006,male,25-29,0.180929065,0.575
MEX,2006,male,30-34,0.161482155,0.672
MEX,2006,male,35-39,0.175238699,0.735
MEX,2006,male,40-44,0.170549959,0.755
MEX,2006,male,45-49,0.190977529,0.757
MEX,2006,male,50-54,0.187743187,0.758
MEX,2006,male,55-59,0.179335654,0.716
MEX,2006,male,60-64,0.187198728,0.707
MEX,2006,male,65-69,0.160314366,0.652
MEX,2007,female,20-24,0.050911356,0.449
MEX,2007,female,25-29,0.054601155,0.6
MEX,2007,female,30-34,0.038037922,0.7
MEX,2007,female,35-39,0.048966624,0.755
MEX,2007,female,40-44,0.065605685,0.804
MEX,2007,female,45-49,0.070501529,0.809
MEX,2007,female,50-54,0.034429953,0.82
MEX,2007,female,55-59,0.072900422,0.81
MEX,2007,female,60-64,0.045063984,0.775
MEX,2007,female,65-69,0.041995067,0.761
MEX,2007,male,20-24,0.171522468,0.445
MEX,2007,male,25-29,0.173218578,0.578
MEX,2007,male,30-34,0.151730239,0.675
MEX,2007,male,35-39,0.16929704,0.737
MEX,2007,male,40-44,0.161162838,0.76
MEX,2007,male,45-49,0.183730349,0.756
MEX,2007,male,50-54,0.181814939,0.763
MEX,2007,male,55-59,0.17092219,0.723
MEX,2007,male,60-64,0.181221873,0.715
MEX,2007,male,65-69,0.156385705,0.658
MEX,2008,female,20-24,0.049271241,0.456
MEX,2008,female,25-29,0.056878887,0.604
MEX,2008,female,30-34,0.034487043,0.703
MEX,2008,female,35-39,0.046324305,0.761
MEX,2008,female,40-44,0.063259304,0.808
MEX,2008,female,45-49,0.068828449,0.81
MEX,2008,female,50-54,0.029125154,0.828
MEX,2008,female,55-59,0.075834319,0.812
MEX,2008,female,60-64,0.045748252,0.779
MEX,2008,female,65-69,0.042317476,0.769
MEX,2008,male,20-24,0.167926028,0.449
MEX,2008,male,25-29,0.16691719,0.583
MEX,2008,male,30-34,0.143696636,0.679
MEX,2008,male,35-39,0.164541066,0.74
MEX,2008,male,40-44,0.154809743,0.765
MEX,2008,male,45-49,0.178646386,0.756
MEX,2008,male,50-54,0.178612798,0.769
MEX,2008,male,55-59,0.164406508,0.73
MEX,2008,male,60-64,0.175927117,0.723
MEX,2008,male,65-69,0.153305754,0.665
MEX,2009,female,20-24,0.048438326,0.46
MEX,2009,female,25-29,0.059078179,0.606
MEX,2009,female,30-34,0.033267003,0.704
MEX,2009,female,35-39,0.045438722,0.763
MEX,2009,female,40-44,0.062033642,0.811
MEX,2009,female,45-49,0.068723083,0.811
MEX,2009,female,50-54,0.027235417,0.832
MEX,2009,female,55-59,0.079090431,0.813
MEX,2009,female,60-64,0.048015796,0.781
MEX,2009,female,65-69,0.04478528,0.774
MEX,2009,male,20-24,0.167198405,0.45
MEX,2009,male,25-29,0.164278701,0.585
MEX,2009,male,30-34,0.139442056,0.681
MEX,2009,male,35-39,0.163052276,0.74
MEX,2009,male,40-44,0.153600752,0.768
MEX,2009,male,45-49,0.178179011,0.754
MEX,2009,male,50-54,0.180276051,0.773
MEX,2009,male,55-59,0.161682665,0.734
MEX,2009,male,60-64,0.173716754,0.729
MEX,2009,male,65-69,0.152653411,0.669
MEX,2010,female,20-24,0.049008232,0.464
MEX,2010,female,25-29,0.061713848,0.608
MEX,2010,female,30-34,0.036071759,0.705
MEX,2010,female,35-39,0.047183532,0.766
MEX,2010,female,40-44,0.061865591,0.813
MEX,2010,female,45-49,0.071114913,0.813
MEX,2010,female,50-54,0.030363251,0.836
MEX,2010,female,55-59,0.080680408,0.814
MEX,2010,female,60-64,0.050192986,0.783
MEX,2010,female,65-69,0.046554938,0.778
MEX,2010,male,20-24,0.16930221,0.452
MEX,2010,male,25-29,0.167419851,0.587
MEX,2010,male,30-34,0.142314076,0.683
MEX,2010,male,35-39,0.166622549,0.741
MEX,2010,male,40-44,0.158378989,0.771
MEX,2010,male,45-49,0.18352066,0.753
MEX,2010,male,50-54,0.185371995,0.775
MEX,2010,male,55-59,0.164562136,0.736
MEX,2010,male,60-64,0.173999369,0.734
MEX,2010,male,65-69,0.153439403,0.673
MEX,2011,female,20-24,0.05006839,0.468
MEX,2011,female,25-29,0.06405583,0.61
MEX,2011,female,30-34,0.040287342,0.706
MEX,2011,female,35-39,0.049689986,0.767
MEX,2011,female,40-44,0.061970167,0.814
MEX,2011,female,45-49,0.07384105,0.814
MEX,2011,female,50-54,0.036470979,0.838
MEX,2011,female,55-59,0.081234582,0.815
MEX,2011,female,60-64,0.052381754,0.785
MEX,2011,female,65-69,0.048125163,0.779
MEX,2011,male,20-24,0.171675861,0.452
MEX,2011,male,25-29,0.171354637,0.589
MEX,2011,male,30-34,0.146697029,0.683
MEX,2011,male,35-39,0.170691714,0.741
MEX,2011,male,40-44,0.164624646,0.773
MEX,2011,male,45-49,0.18963033,0.752
MEX,2011,male,50-54,0.190748811,0.776
MEX,2011,male,55-59,0.168809354,0.737
MEX,2011,male,60-64,0.174867064,0.736
MEX,2011,male,65-69,0.154319406,0.675
MEX,2012,female,20-24,0.05103527,0.47
MEX,2012,female,25-29,0.065134913,0.611
MEX,2012,female,30-34,0.043689799,0.706
MEX,2012,female,35-39,0.05190213,0.767
MEX,2012,female,40-44,0.062363699,0.814
MEX,2012,female,45-49,0.075573325,0.815
MEX,2012,female,50-54,0.042992543,0.839
MEX,2012,female,55-59,0.080930971,0.816
MEX,2012,female,60-64,0.053918213,0.786
MEX,2012,female,65-69,0.048758846,0.779
MEX,2012,male,20-24,0.173449293,0.452
MEX,2012,male,25-29,0.17364794,0.589
MEX,2012,male,30-34,0.149879798,0.683
MEX,2012,male,35-39,0.172820956,0.74
MEX,2012,male,40-44,0.169366583,0.773
MEX,2012,male,45-49,0.193229526,0.751
MEX,2012,male,50-54,0.194389328,0.777
MEX,2012,male,55-59,0.171912193,0.738
MEX,2012,male,60-64,0.175542653,0.737
MEX,2012,male,65-69,0.154968113,0.677
